86.4,186,92.3
116.4,0,116.4
119.9,0,119.9
115.5,0,115.5
119.0,120,124.6
120.2,334,136.0
117.8,265,130.3
118.6,296,132.6
120.1,344,136.4
120.3,329,135.9
120.0,341,134.8
120.4,326,135.8
121.3,340,137.4
120.7,358,137.7
120.1,356,137.0
120.7,347,137.1
121.6,311,136.4
120.6,352,137.3
120.2,347,136.7
119.9,352,136.6
120.4,349,135.5
120.4,338,136.4
120.1,352,136.7
120.4,345,136.7
119.6,343,135.8
120.8,346,137.2
120.4,355,137.2
121.3,338,137.4
121.2,361,138.3
121.6,352,138.3
121.4,325,135.5
118.0,320,133.2
120.9,370,138.5
121.0,353,137.6
121.2,345,137.6
120.3,300,134.5
120.9,341,137.0
114.6,281,127.9
120.3,359,137.3
120.4,346,136.8
120.2,360,135.9
120.5,339,136.6
120.2,350,136.8
121.1,346,137.5
120.7,338,136.7
120.1,348,136.5
120.9,342,137.1
121.3,333,137.0
121.9,329,137.5
118.6,340,134.6
120.2,322,134.2
120.0,356,136.8
122.0,340,138.1
120.2,359,137.2
120.4,323,135.7
120.0,356,136.9
117.6,340,133.6
120.8,362,138.1
119.8,332,135.5
121.2,354,138.1
119.4,331,133.8
120.1,345,136.4
120.1,332,135.8
120.0,302,134.2
120.9,330,136.5
121.3,349,137.8
120.6,356,137.5
120.1,362,137.3
121.4,351,138.1
120.1,336,135.9
121.7,358,137.3
120.5,360,137.6
119.7,342,135.8
120.4,350,137.0
120.9,342,137.1
119.8,340,135.9
121.6,350,138.2
118.2,317,133.2
119.5,340,135.7
120.5,348,136.9
120.1,340,134.8
120.0,355,136.7
120.7,330,136.3
122.1,347,138.6
121.4,333,137.1
121.3,352,138.0
119.8,323,135.1
121.3,347,137.8
120.1,335,136.0
120.1,354,136.8
120.0,335,134.5
120.2,316,135.2
121.0,360,138.1
120.3,347,136.7
119.9,340,136.0
120.4,337,136.4
120.3,357,137.2
120.6,351,137.2
120.4,339,136.4
121.1,348,137.6
121.9,335,136.4
121.7,334,137.5
121.2,333,136.9
120.8,350,137.4
120.0,343,136.2
122.4,332,138.1
119.0,304,133.4
121.1,349,137.7
120.2,356,137.0
120.9,351,137.5
120.4,327,134.7
120.0,365,137.3
120.1,351,136.7
121.2,354,138.0
121.6,363,138.8
120.3,347,136.7
120.3,325,135.7
121.1,349,137.7
121.8,339,137.9
121.6,286,135.1
120.5,349,135.6
121.0,349,137.6
120.5,355,137.3
121.7,336,137.6
120.6,298,134.7
121.4,319,136.5
120.7,352,137.3
119.1,349,135.5
121.0,367,138.4
119.5,348,135.9
120.6,351,135.7
120.4,368,137.8
121.4,338,137.4
120.4,330,136.0
120.4,349,136.9
121.2,343,137.4
122.2,330,137.7
121.2,339,137.3
120.3,329,135.9
121.0,357,137.9
120.7,342,135.5
121.8,355,138.6
120.8,350,137.4
120.0,334,135.7
119.8,320,135.0
119.8,361,136.9
120.3,344,136.6
120.4,308,135.0
120.6,351,137.1
120.7,354,137.5
121.6,368,137.4
119.6,358,136.5
120.4,318,135.5
120.5,346,136.9
121.8,194,131.0
121.1,349,137.6
120.4,360,137.4
119.8,334,135.6
122.0,334,137.9
121.6,351,138.2
120.5,336,135.0
120.1,357,137.0
121.0,360,138.0
119.0,348,135.4
119.9,359,136.8
120.8,370,138.3
120.2,324,135.6
120.4,347,136.8
120.2,357,137.0
121.4,342,137.6
119.8,330,134.1
121.1,337,137.1
121.1,308,135.6
121.1,340,137.2
121.7,336,137.6
120.9,366,138.3
120.8,310,135.4
